"item","group1","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"Country*33","213","upstream of Almaty city",6,10,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Country*34","214","Varzob river, Gauging station",6,7,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Country*35","215","well",6,2,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Country*36","216","Zarechnoe",6,9,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Sample description*1","217","AgroBioCenter",7,12,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Sample description*2","218","Alplager",7,9,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Sample description*3","219","Arna village",7,12,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Sample description*4","220","Baityk",7,9,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Sample description*5","221","BAL",7,12,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Sample description*6","222","Bore hole near Yangiyul",7,2,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Sample description*7","223","Bridge",7,9,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Sample description*8","224","Chirchik river near inflow to Syrdarya river",7,7,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Sample description*9","225","Chirchik river near Tashkent",7,7,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Sample description*10","226","Chircik river, downstream Charvak reserv. Dam",7,7,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Sample description*11","227","Chircik river, downstream Gazalkent town",7,7,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Sample description*12","228","Chirhik river, downstream Tashkent town",7,7,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Sample description*13","229","Chirhik river, near Chirchik town",7,7,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Sample description*14","230","city, Makataeva-Kopernika str. Crossing",7,10,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Sample description*15","231","Corn field",7,1,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Sample description*16","232","Darhan",7,12,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Sample description*17","233","FPP",7,12,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Sample description*18","234","Groundwater (springwater)",7,1,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Sample description*19","235","Kafarnigan river",7,7,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Sample description*20","236","Kapshagay",7,2,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Sample description*21","237","Kaskelen (Kas)",7,12,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Sample description*22","238","Kazcik",7,12,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Sample description*23","239","Kosozen (UA)",7,12,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Sample description*24","240","Lake",7,5,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Sample description*25","241","Luchob river",7,7,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Sample description*26","242","Maykhura river",7,7,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Sample description*27","243","Otegen Batyr village",7,10,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Sample description*28","244","Potable water well",7,7,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Sample description*29","245","Pskem river, Mulala gaging station",7,7,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Sample description*30","246","Radnik",7,4,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Sample description*31","247","South-East water uptake,  drinking water facility",7,7,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Sample description*32","248","Spring on left bank of Chirhik, Hodjakent vil.",7,7,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Sample description*33","249","upstream of Almaty city",7,10,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Sample description*34","250","Varzob river, Gauging station",7,7,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Sample description*35","251","well",7,2,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Sample description*36","252","Zarechnoe",7,9,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Sample type*1","253","AgroBioCenter",8,12,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Sample type*2","254","Alplager",8,9,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Sample type*3","255","Arna village",8,12,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Sample type*4","256","Baityk",8,9,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Sample type*5","257","BAL",8,12,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Sample type*6","258","Bore hole near Yangiyul",8,2,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Sample type*7","259","Bridge",8,9,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Sample type*8","260","Chirchik river near inflow to Syrdarya river",8,7,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Sample type*9","261","Chirchik river near Tashkent",8,7,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Sample type*10","262","Chircik river, downstream Charvak reserv. Dam",8,7,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Sample type*11","263","Chircik river, downstream Gazalkent town",8,7,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Sample type*12","264","Chirhik river, downstream Tashkent town",8,7,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Sample type*13","265","Chirhik river, near Chirchik town",8,7,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Sample type*14","266","city, Makataeva-Kopernika str. Crossing",8,10,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Sample type*15","267","Corn field",8,1,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Sample type*16","268","Darhan",8,12,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Sample type*17","269","FPP",8,12,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Sample type*18","270","Groundwater (springwater)",8,1,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Sample type*19","271","Kafarnigan river",8,7,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Sample type*20","272","Kapshagay",8,2,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Sample type*21","273","Kaskelen (Kas)",8,12,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Sample type*22","274","Kazcik",8,12,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Sample type*23","275","Kosozen (UA)",8,12,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Sample type*24","276","Lake",8,5,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Sample type*25","277","Luchob river",8,7,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Sample type*26","278","Maykhura river",8,7,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Sample type*27","279","Otegen Batyr village",8,10,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Sample type*28","280","Potable water well",8,7,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Sample type*29","281","Pskem river, Mulala gaging station",8,7,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Sample type*30","282","Radnik",8,4,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Sample type*31","283","South-East water uptake,  drinking water facility",8,7,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Sample type*32","284","Spring on left bank of Chirhik, Hodjakent vil.",8,7,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Sample type*33","285","upstream of Almaty city",8,10,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Sample type*34","286","Varzob river, Gauging station",8,7,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Sample type*35","287","well",8,2,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Sample type*36","288","Zarechnoe",8,9,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Coordinate 1*1","289","AgroBioCenter",9,12,43.4668575,0.001894998800672,43.46581,43.466648,0,43.46581,43.47,0.004190000000001,1.01341313038895,-1.03935185184805,0.000547039033841
"Coordinate 1*2","290","Alplager",9,9,42.565388,0,42.565388,42.565388,0,42.565388,42.565388,0,NA,NA,0
"Coordinate 1*3","291","Arna village",9,12,43.7784,0,43.7784,43.7784,0,43.7784,43.7784,0,NA,NA,0
"Coordinate 1*4","292","Baityk",9,9,42.638941,0.009266481779588,42.638941,42.638941,0.0128511768,42.630273,42.647609,0.017336,0,-2.234375,0.003088827259863
"Coordinate 1*5","293","BAL",9,12,43.05687,0,43.05687,43.05687,0,43.05687,43.05687,0,NA,NA,0
"Coordinate 1*6","294","Bore hole near Yangiyul",9,2,41.09439,0,41.09439,41.09439,0,41.09439,41.09439,0,NA,NA,0
"Coordinate 1*7","295","Bridge",9,9,42.8543695,0.10234876163533,42.8543695,42.8543695,0.141941900099999,42.758631,42.950108,0.191476999999999,-9.1e-14,-2.234375,0.034116253878443
"Coordinate 1*8","296","Chirchik river near inflow to Syrdarya river",9,7,40.900364,0,40.900364,40.900364,0,40.900364,40.900364,0,NA,NA,0
"Coordinate 1*9","297","Chirchik river near Tashkent",9,7,41.262264,0,41.262264,41.262264,0,41.262264,41.262264,0,NA,NA,0
"Coordinate 1*10","298","Chircik river, downstream Charvak reserv. Dam",9,7,41.630271,0,41.630271,41.630271,0,41.630271,41.630271,0,NA,NA,0
"Coordinate 1*11","299","Chircik river, downstream Gazalkent town",9,7,41.52991,0,41.52991,41.52991,0,41.52991,41.52991,0,NA,NA,0
"Coordinate 1*12","300","Chirhik river, downstream Tashkent town",9,7,41.168056,0,41.168056,41.168056,0,41.168056,41.168056,0,NA,NA,0
"Coordinate 1*13","301","Chirhik river, near Chirchik town",9,7,41.430512,0,41.430512,41.430512,0,41.430512,41.430512,0,NA,NA,0
"Coordinate 1*14","302","city, Makataeva-Kopernika str. Crossing",9,10,43.25161,0,43.25161,43.25161,0,43.25161,43.25161,0,NA,NA,0
"Coordinate 1*15","303","Corn field",9,1,657818,NA,657818,657818,0,657818,657818,0,NA,NA,NA
"Coordinate 1*16","304","Darhan",9,12,43.31162,0,43.31162,43.31162,0,43.31162,43.31162,0,NA,NA,0
"Coordinate 1*17","305","FPP",9,12,43.19164,0,43.19164,43.19164,0,43.19164,43.19164,0,NA,NA,0
"Coordinate 1*18","306","Groundwater (springwater)",9,0,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Coordinate 1*19","307","Kafarnigan river",9,7,38.493434,0,38.493434,38.493434,0,38.493434,38.493434,0,NA,NA,0
"Coordinate 1*20","308","Kapshagay",9,2,43.79377,0,43.79377,43.79377,0,43.79377,43.79377,0,NA,NA,0
"Coordinate 1*21","309","Kaskelen (Kas)",9,12,43.56196,0,43.56196,43.56196,0,43.56196,43.56196,0,NA,NA,0
"Coordinate 1*22","310","Kazcik",9,12,43.39003,0,43.39003,43.39003,0,43.39003,43.39003,0,NA,NA,0
"Coordinate 1*23","311","Kosozen (UA)",9,12,43.56118,0,43.56118,43.56118,0,43.56118,43.56118,0,NA,NA,0
"Coordinate 1*24","312","Lake",9,5,42.971494,0,42.971494,42.971494,0,42.971494,42.971494,0,NA,NA,0
"Coordinate 1*25","313","Luchob river",9,7,38.587298,0,38.587298,38.587298,0,38.587298,38.587298,0,NA,NA,0
"Coordinate 1*26","314","Maykhura river",9,7,39.026767,0,39.026767,39.026767,0,39.026767,39.026767,0,NA,NA,0
"Coordinate 1*27","315","Otegen Batyr village",9,10,43.4063,0,43.4063,43.4063,0,43.4063,43.4063,0,NA,NA,0
"Coordinate 1*28","316","Potable water well",9,7,38.489616,0,38.489616,38.489616,0,38.489616,38.489616,0,NA,NA,0
"Coordinate 1*29","317","Pskem river, Mulala gaging station",9,7,41.771928,0,41.771928,41.771928,0,41.771928,41.771928,0,NA,NA,0
"Coordinate 1*30","318","Radnik",9,4,42.630273,0,42.630273,42.630273,0,42.630273,42.630273,0,NA,NA,0
"Coordinate 1*31","319","South-East water uptake,  drinking water facility",9,7,38.522381,0,38.522381,38.522381,0,38.522381,38.522381,0,NA,NA,0
"Coordinate 1*32","320","Spring on left bank of Chirhik, Hodjakent vil.",9,7,41.622935,0,41.622935,41.622935,0,41.622935,41.622935,0,NA,NA,0
"Coordinate 1*33","321","upstream of Almaty city",9,10,43.17401,0,43.17401,43.17401,0,43.17401,43.17401,0,NA,NA,0
"Coordinate 1*34","322","Varzob river, Gauging station",9,7,38.872408,0,38.872408,38.872408,0,38.872408,38.872408,0,NA,NA,0
"Coordinate 1*35","323","well",9,0,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Coordinate 1*36","324","Zarechnoe",9,9,42.70312,0.059343755199202,42.70312,42.70312,0.082300608599999,42.647609,42.758631,0.111021999999998,1.57e-13,-2.234375,0.019781251733067
"Coordinate 2*1","325","AgroBioCenter",10,12,76.97755,0,76.97755,76.97755,0,76.97755,76.97755,0,NA,NA,0
"Coordinate 2*2","326","Alplager",10,9,74.479548,0,74.479548,74.479548,0,74.479548,74.479548,0,NA,NA,0
"Coordinate 2*3","327","Arna village",10,12,77.13354,0,77.13354,77.13354,0,77.13354,77.13354,0,NA,NA,0
"Coordinate 2*4","328","Baityk",10,9,74.4933835,0.002161074402109,74.4933835,74.4933835,0.002997075900007,74.491362,74.495405,0.00404300000001,8.631e-12,-2.234375,0.000720358134036
"Coordinate 2*5","329","BAL",10,12,76.98622,0,76.98622,76.98622,0,76.98622,76.98622,0,NA,NA,0
"Coordinate 2*6","330","Bore hole near Yangiyul",10,2,69.05308,0,69.05308,69.05308,0,69.05308,69.05308,0,NA,NA,0
"Coordinate 2*7","331","Bridge",10,9,74.581659,0.011334014747021,74.581659,74.581659,0.015718525199998,74.571057,74.592261,0.021203999999997,-1.646e-12,-2.234375,0.003778004915674
"Coordinate 2*8","332","Chirchik river near inflow to Syrdarya river",10,7,68.709182,0,68.709182,68.709182,0,68.709182,68.709182,0,NA,NA,0
"Coordinate 2*9","333","Chirchik river near Tashkent",10,7,69.375302,0,69.375302,69.375302,0,69.375302,69.375302,0,NA,NA,0
"Coordinate 2*10","334","Chircik river, downstream Charvak reserv. Dam",10,7,69.953152,0,69.953152,69.953152,0,69.953152,69.953152,0,NA,NA,0
"Coordinate 2*11","335","Chircik river, downstream Gazalkent town",10,7,69.68849,0,69.68849,69.68849,0,69.68849,69.68849,0,NA,NA,0
"Coordinate 2*12","336","Chirhik river, downstream Tashkent town",10,7,69.231661,0,69.231661,69.231661,0,69.231661,69.231661,0,NA,NA,0
"Coordinate 2*13","337","Chirhik river, near Chirchik town",10,7,69.582846,0,69.582846,69.582846,0,69.582846,69.582846,0,NA,NA,0
"Coordinate 2*14","338","city, Makataeva-Kopernika str. Crossing",10,10,76.95948,0,76.95948,76.95948,0,76.95948,76.95948,0,NA,NA,0
"Coordinate 2*15","339","Corn field",10,1,4818421,NA,4818421,4818421,0,4818421,4818421,0,NA,NA,NA
"Coordinate 2*16","340","Darhan",10,12,76.86975,0,76.86975,76.86975,0,76.86975,76.86975,0,NA,NA,0
"Coordinate 2*17","341","FPP",10,12,76.89008,0,76.89008,76.89008,0,76.89008,76.89008,0,NA,NA,0
"Coordinate 2*18","342","Groundwater (springwater)",10,0,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Coordinate 2*19","343","Kafarnigan river",10,7,68.783604,0,68.783604,68.783604,0,68.783604,68.783604,0,NA,NA,0
"Coordinate 2*20","344","Kapshagay",10,2,77.14736,0,77.14736,77.14736,0,77.14736,77.14736,0,NA,NA,0
"Coordinate 2*21","345","Kaskelen (Kas)",10,12,76.89783,0,76.89783,76.89783,0,76.89783,76.89783,0,NA,NA,0
"Coordinate 2*22","346","Kazcik",10,12,76.88078,0,76.88078,76.88078,0,76.88078,76.88078,0,NA,NA,0
"Coordinate 2*23","347","Kosozen (UA)",10,12,76.90803,0,76.90803,76.90803,0,76.90803,76.90803,0,NA,NA,0
"Coordinate 2*24","348","Lake",10,5,74.602249,0,74.602249,74.602249,0,74.602249,74.602249,0,NA,NA,0
"Coordinate 2*25","349","Luchob river",10,7,68.771622,0,68.771622,68.771622,0,68.771622,68.771622,0,NA,NA,0
"Coordinate 2*26","350","Maykhura river",10,7,68.784795,0,68.784795,68.784795,0,68.784795,68.784795,0,NA,NA,0
"Coordinate 2*27","351","Otegen Batyr village",10,10,77.01521,0,77.01521,77.01521,0,77.01521,77.01521,0,NA,NA,0
"Coordinate 2*28","352","Potable water well",10,7,68.785221,0,68.785221,68.785221,0,68.785221,68.785221,0,NA,NA,0
"Coordinate 2*29","353","Pskem river, Mulala gaging station",10,7,70.190761,0,70.190761,70.190761,0,70.190761,70.190761,0,NA,NA,0
"Coordinate 2*30","354","Radnik",10,4,74.491362,0,74.491362,74.491362,0,74.491362,74.491362,0,NA,NA,0
"Coordinate 2*31","355","South-East water uptake,  drinking water facility",10,7,68.720056,0,68.720056,68.720056,0,68.720056,68.720056,0,NA,NA,0
"Coordinate 2*32","356","Spring on left bank of Chirhik, Hodjakent vil.",10,7,69.940481,0,69.940481,69.940481,0,69.940481,69.940481,0,NA,NA,0
"Coordinate 2*33","357","upstream of Almaty city",10,10,77.01527,0,77.01527,77.01527,0,77.01527,77.01527,0,NA,NA,0
"Coordinate 2*34","358","Varzob river, Gauging station",10,7,68.832686,0,68.832686,68.832686,0,68.832686,68.832686,0,NA,NA,0
"Coordinate 2*35","359","well",10,0,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"Coordinate 2*36","360","Zarechnoe",10,9,74.533231,0.040437694946313,74.533231,74.533231,0.056080827599993,74.495405,74.571057,0.075651999999991,0,-2.234375,0.013479231648771
"T [C]1","361","AgroBioCenter",11,12,13.5833333333333,0.668557923421521,14,13.7,0,12,14,2,-1.11160638737237,-0.133013741262085,0.192996048528136
"T [C]2","362","Alplager",11,9,8.88888888888889,2.42097317438899,10,8.88888888888889,1.4826,5,11,6,-0.402157220406179,-1.72984118189752,0.806991058129664
"T [C]3","363","Arna village",11,12,21.25,4.18058282148228,21.5,21.6,5.1891,13,26,13,-0.592364877070104,-0.90361023835976,1.20683030867616
"T [C]4","364","Baityk",11,9,10.3333333333333,2.69258240356725,10,10.3333333333333,2.9652,6,14,8,-0.246645149047426,-1.46531906460563,0.897527467855751
"T [C]5","365","BAL",11,12,7.5,1.73205080756888,7,7.5,2.2239,5,10,5,0.048112522432469,-1.40972222222222,0.5
"T [C]6","366","Bore hole near Yangiyul",11,2,22.5,0.707106781186548,22.5,22.5,0.7413,22,23,1,0,-2.75,0.5
"T [C]7","367","Bridge",11,9,20.6666666666667,4.60977222864644,20,20.6666666666667,7.413,14,27,13,-0.08242412166356,-1.66914776368064,1.53659074288215
"T [C]8","368","Chirchik river near inflow to Syrdarya river",11,7,25.1428571428571,2.19306265517513,25,25.1428571428571,2.9652,23,28,5,0.089556635938924,-2.05086136013076,0.828899770739486
"T [C]9","369","Chirchik river near Tashkent",11,7,23,2.51661147842358,23,23,1.4826,19,27,8,-0.053778005474821,-1.11238622872972,0.951189731211342
"T [C]10","370","Chircik river, downstream Charvak reserv. Dam",11,7,15.4285714285714,1.90237946242268,15,15.4285714285714,2.9652,13,18,5,0.094008561681849,-1.9194555938719,0.719031850978167
"T [C]11","371","Chircik river, downstream Gazalkent town",11,7,18.7142857142857,1.25356634105602,19,18.7142857142857,1.4826,17,21,4,0.452882290865572,-0.890032045876202,0.473803541479343
"T [C]12","372","Chirhik river, downstream Tashkent town",11,7,23.8571428571429,2.79455252402309,24,23.8571428571429,2.9652,20,28,8,0.007213778611132,-1.58079192414622,1.05624157203899
"T [C]13","373","Chirhik river, near Chirchik town",11,7,18.2857142857143,1.88982236504614,18,18.2857142857143,2.9652,15,20,5,-0.476883175088212,-1.37368163265306,0.714285714285714
"T [C]14","374","city, Makataeva-Kopernika str. Crossing",11,10,12.7,2.71006354989038,13,12.75,2.9652,8,17,9,-0.136857523877774,-1.22298545961398,0.856997342145496
"T [C]15","375","Corn field",11,1,26,NA,26,26,0,26,26,0,NA,NA,NA
"T [C]16","376","Darhan",11,12,13.0833333333333,2.39158879611378,13,13.2,2.9652,9,16,7,-0.27253196759972,-1.4938327631829,0.690392217613593
"T [C]17","377","FPP",11,12,9.08333333333333,2.90636709604442,8,8.6,2.2239,6,17,11,1.49274943055475,1.82418225113448,0.83899591263256
"T [C]18","378","Groundwater (springwater)",11,1,14,NA,14,14,0,14,14,0,NA,NA,NA
"T [C]19","379","Kafarnigan river",11,7,18.1428571428571,1.57359158493889,18,18.1428571428571,1.4826,15,20,5,-0.85746109504753,-0.424495833836495,0.594761714133181
"T [C]20","380","Kapshagay",11,2,23.5,0.707106781186548,23.5,23.5,0.7413,23,24,1,0,-2.75,0.5
"T [C]21","381","Kaskelen (Kas)",11,12,18.3333333333333,2.93360880249235,18.5,18.5,2.9652,13,22,9,-0.399757059777238,-1.17475864577134,0.846859915908007
"T [C]22","382","Kazcik",11,12,15.9166666666667,2.81096338494744,16.5,16.1,2.2239,11,19,8,-0.59754484512683,-1.10160695173074,0.811455233490792
"T [C]23","383","Kosozen (UA)",11,12,18.9166666666667,3.50216383328243,19,19.2,4.4478,12,23,11,-0.541781484851752,-0.959076539301986,1.01098761594589
"T [C]24","384","Lake",11,5,22.6,6.308724118235,26,22.6,4.4478,14,29,15,-0.312751879723214,-2.00724527158405,2.82134719593318
"T [C]25","385","Luchob river",11,7,19.2857142857143,3.03942350423485,20,19.2857142857143,2.9652,14,23,9,-0.446063307045442,-1.23734765454699,1.14879410302998
"T [C]26","386","Maykhura river",11,7,7.57142857142857,0.534522483824849,8,7.57142857142857,0,7,8,1,-0.229081064496362,-2.20408163265306,0.202030508910442
"T [C]27","387","Otegen Batyr village",11,10,18.9,3.72528895225294,19,19.125,2.9652,12,24,12,-0.231185552967176,-0.982427851007788,1.17803980313815
"T [C]28","388","Potable water well",11,7,20.1428571428571,1.0690449676497,20,20.1428571428571,1.4826,19,22,3,0.472479695523751,-1.26658163265306,0.404061017820884
"T [C]29","389","Pskem river, Mulala gaging station",11,7,12.2857142857143,1.11269728052837,12,12.2857142857143,1.4826,11,14,3,0.152372746784103,-1.63603429537496,0.420560041253707
"T [C]30","390","Radnik",11,4,12,3.55902608401044,11.5,12,3.7065,9,16,7,0.099820329918575,-2.32375346260388,1.77951304200522
"T [C]31","391","South-East water uptake,  drinking water facility",11,7,19.4285714285714,1.71824938596845,19,19.4285714285714,1.4826,17,22,5,0.103447450768134,-1.54227101870925,0.649437223665993
"T [C]32","392","Spring on left bank of Chirhik, Hodjakent vil.",11,7,15.8571428571429,0.377964473009227,16,15.8571428571429,0,15,16,1,-1.61984774146812,0.795918367346948,0.142857142857143
"T [C]33","393","upstream of Almaty city",11,10,10.5,2.67706306736817,9.5,10.375,2.2239,7,15,8,0.422191233339404,-1.43534342888048,0.84656167328002
"T [C]34","394","Varzob river, Gauging station",11,7,9.57142857142857,0.975900072948533,10,9.57142857142857,1.4826,8,11,3,-0.169388369804638,-1.33408163265306,0.368855556781659
"T [C]35","395","well",11,2,13,0,13,13,0,13,13,0,NA,NA,0
"T [C]36","396","Zarechnoe",11,9,15.8888888888889,3.8873012632302,18,15.8888888888889,4.4478,10,21,11,-0.186677517651037,-1.79316448801743,1.2957670877434
"pH1","397","AgroBioCenter",12,12,8.29166666666667,0.099620491989563,8.3,8.3,0.148259999999999,8.1,8.4,0.300000000000001,-0.359400424988452,-1.21275105374591,0.028757958933488
"pH2","398","Alplager",12,9,7.31111111111111,0.208832734769028,7.3,7.31111111111111,0.148259999999999,7.1,7.7,0.6,0.748571232046065,-1.0070290583496,0.069610911589676
"pH3","399","Arna village",12,12,8.325,0.135680105059994,8.4,8.34,0.07413,8,8.5,0.5,-1.01341313038635,0.140956028044469,0.039167472590032
"pH4","400","Baityk",12,9,7.57777777777778,0.227913238852956,7.6,7.57777777777778,0.296519999999999,7.2,7.9,0.7,-0.095707034633231,-1.43271130090885,0.075971079617652
"pH5","401","BAL",12,12,8.20833333333333,0.137895436890245,8.2,8.2,0.148260000000001,8,8.5,0.5,0.437431673913791,-0.705878015163804,0.039806983804302
"pH6","402","Bore hole near Yangiyul",12,2,7.4,0,7.4,7.4,0,7.4,7.4,0,NA,NA,0
"pH7","403","Bridge",12,9,8.05555555555556,0.133333333333333,8.1,8.05555555555556,0.148259999999999,7.8,8.2,0.399999999999999,-0.667824074074079,-0.979745370370363,0.044444444444444
"pH8","404","Chirchik river near inflow to Syrdarya river",12,7,7.97142857142857,0.095118973121134,8,7.97142857142857,0,7.8,8.1,0.3,-0.528480562968241,-0.965854485838648,0.035951592548908
"pH9","405","Chirchik river near Tashkent",12,7,8.28571428571429,0.307834216359885,8.3,8.28571428571429,0.296519999999999,7.9,8.7,0.799999999999999,-0.120532042277806,-1.75916862540577,0.116350397360672
"pH10","406","Chircik river, downstream Charvak reserv. Dam",12,7,8.44285714285714,0.181265393434993,8.4,8.44285714285714,0.148259999999999,8.3,8.8,0.5,0.889928396610371,-0.678561783881782,0.068511878904467
"pH11","407","Chircik river, downstream Gazalkent town",12,7,7.98571428571429,0.211570094204981,8,7.98571428571429,0.148259999999999,7.6,8.2,0.6,-0.565217654504812,-1.10132020214151,0.079965979160698
"pH12","408","Chirhik river, downstream Tashkent town",12,7,7.94285714285714,0.151185789203691,8,7.94285714285714,0.148259999999999,7.7,8.1,0.399999999999999,-0.379651814406596,-1.59470663265306,0.057142857142857
"pH13","409","Chirhik river, near Chirchik town",12,7,8.37142857142857,0.048795003647426,8.4,8.37142857142857,0,8.3,8.4,0.1,-0.752837199131726,-1.60408163265306,0.018442777839083
"pH14","410","city, Makataeva-Kopernika str. Crossing",12,10,8.31,0.099442892601176,8.3,8.3,0.148259999999999,8.2,8.5,0.300000000000001,0.439301312700434,-1.08395783360689,0.031446603773522
"pH15","411","Corn field",12,1,7.9,NA,7.9,7.9,0,7.9,7.9,0,NA,NA,NA
"pH16","412","Darhan",12,12,8.14166666666667,0.116450015288132,8.2,8.14,0.148260000000001,8,8.3,0.300000000000001,-0.132661890745444,-1.67267004254965,0.033616223836869
